Random,Greedy,LimeQO,LimeQO+
45s,158.30051250225205,141.82495227396782,155.90296428253896,166.3303306859412
90s,138.7841844529242,119.9282703168723,126.35146587116917,132.42864381568933
180s,111.75567235792853,101.57427536382559,96.45150415419512,106.79457089866955
360s,87.30921092565326,85.15138834008238,87.86002955876418,98.18770235380508
