Random,Greedy,LimeQO,LimeQO+
0.75h,2.555650834313251,1.9851909483538204,1.5967244606812325,1.6154910019470219
1.5h,2.255596244317343,1.619101953933125,1.4209631049134344,1.3050353351987698
3h,1.8023422692817515,1.4398280222146647,1.292236824366952,1.1760528268080148
6h,1.3277980011666193,1.2913761967759112,1.1679460632291456,1.0967249748598134
